Country,Units,Scale,2017,2018,2019,2020,2021,2022,Estimates Start After
Albania,Percent of total labor force,,13.7,12.3,11.47,11.675,11.4,11.1,2021
Algeria,Percent of total labor force,,11.709,11.731,11.383,n/a,n/a,n/a,2019
Andorra,Percent of total labor force,,1.725,1.525,1.775,2.85,2.875,2,2021
Argentina,Percent of total labor force,,8.35,9.2,9.825,11.55,8.75,7,2021
Armenia,Percent of total labor force,,17.8,19,18.3,18.2,15.3,12.5,2021
Aruba,Percent of total labor force,,8.923,7.283,5.2,8.6,8.8,7.842,2021
Australia,Percent of total labor force,,5.583,5.292,5.192,6.492,5.1,3.708,2022
Austria,Percent of total labor force,,5.925,5.208,4.817,5.475,6.167,4.767,2021
Azerbaijan,Percent of total labor force,,4.961,4.944,4.848,7.157,5.952,5.886,2021
The Bahamas,Percent of total labor force,,10.1,10.35,10.1,25.55,18.145,12.312,2019
Bahrain,Percent of total labor force,,4.1,4.3,4.7,5.9,6.6,5,2021
Barbados,Percent of total labor force,,9.95,10.05,10.088,21.121,14.358,10.125,2021
Belarus,Percent of total labor force,,5.684,4.825,4.191,4.082,3.925,4.5,2022
Belgium,Percent of total labor force,,7.108,5.975,5.383,5.575,6.258,5.5,2021
Belize,Percent of total labor force,,9.328,9.377,9.041,13.743,10.188,6.071,2022
Bhutan,Percent of total labor force,,3.138,3.4,2.72,5.03,4.8,5.9,2022
Bolivia,Percent of total labor force,,5.085,4.913,5.012,8.336,6.937,4.74,2022
Bosnia and Herzegovina,Percent of total labor force,,20.5,18.4,15.7,15.9,17.4,17.3,2021
Brazil,Percent of total labor force,,11.9,11.7,11.1,14.2,11.1,7.9,2022
Brunei Darussalam,Percent of total labor force,,9.3,8.7,6.822,6.822,6.822,6.822,2021
Bulgaria,Percent of total labor force,,6.23,5.273,4.275,5.207,5.346,4.32,2022
Cabo Verde,Percent of total labor force,,12.2,12.2,8.5,8.5,8.5,8.5,2018
Canada,Percent of total labor force,,6.408,5.85,5.7,9.725,7.508,5.275,2022
Chile,Percent of total labor force,,6.965,7.377,7.223,10.77,8.862,7.878,2022
China,Percent of total labor force,,3.9,3.8,3.62,4.24,3.96,4.2,2022
Colombia,Percent of total labor force,,9.675,9.958,10.892,16.667,13.8,11.217,2022
Costa Rica,Percent of total labor force,,9.293,11.951,12.417,19.98,13.68,11.669,2021
Croatia,Percent of total labor force,,12.433,9.858,7.758,9,8.092,6.783,2021
Cyprus,Percent of total labor force,,11.05,8.35,7.075,7.575,7.475,6.728,2022
Czech Republic,Percent of total labor force,,2.89,2.243,2.001,2.541,2.82,2.312,2021
Denmark,Percent of total labor force,,5.825,5.125,5,5.633,5.075,4.467,2022
Dominican Republic,Percent of total labor force,,5.509,5.656,6.167,5.829,7.351,6.442,2021
Ecuador,Percent of total labor force,,4.62,3.69,3.84,5.346,4.68,3.8,2022
Egypt,Percent of total labor force,,12.245,10.932,8.612,8.296,7.292,7.323,2022
El Salvador,Percent of total labor force,,7.05,6.35,6.34,6.9,6.3,5.8,2021
Estonia,Percent of total labor force,,5.763,5.371,4.448,6.806,6.177,5.571,2022
Fiji,Percent of total labor force,,4.5,4.5,4.5,13.351,9,6.5,2020
Finland,Percent of total labor force,,8.825,7.425,6.733,7.767,7.608,6.775,2022
France,Percent of total labor force,,9.417,9.025,8.417,8.033,7.875,7.292,2021
Georgia,Percent of total labor force,,21.6,19.2,17.6,18.5,20.6,18.69,2021
Germany,Percent of total labor force,,3.567,3.208,2.975,3.625,3.575,3.067,2022
Greece,Percent of total labor force,,21.45,19.3,17.325,16.325,14.775,12.2,2021
Honduras,Percent of total labor force,,5.528,5.648,5.386,10.912,8.569,8.9,2021
Hong Kong SAR,Percent of total labor force,,3.124,2.805,2.916,5.808,5.175,4.2,2021
Hungary,Percent of total labor force,,4.077,3.632,3.339,4.159,4.074,3.601,2021
Iceland,Percent of total labor force,,3.283,3.1,3.925,6.433,6.017,3.75,2021
Indonesia,Percent of total labor force,,5.5,5.24,5.18,7.07,6.49,5.86,2022
Islamic Republic of Iran,Percent of total labor force,,12.075,12.125,10.65,9.6,9.175,9.537,2022
Ireland,Percent of total labor force,,6.758,5.783,4.958,5.858,6.25,4.5,2022
Israel,Percent of total labor force,,4.225,4,3.817,4.283,4.95,3.758,2021
Italy,Percent of total labor force,,11.3,10.617,9.9,9.342,9.517,8.092,2021
Jamaica,Percent of total labor force,,11.65,9.125,7.7,10.2,8.375,n/a,2021
Japan,Percent of total labor force,,2.825,2.442,2.358,2.783,2.817,2.558,2022
Jordan,Percent of total labor force,,18.3,18.6,19.075,22.7,24.075,22.833,2021
Kazakhstan,Percent of total labor force,,4.872,4.828,4.793,4.925,4.9,4.9,2022
Korea,Percent of total labor force,,3.683,3.833,3.783,3.942,3.675,2.883,2021
Kosovo,Percent of total labor force,,30.475,29.5,25.65,25.95,20.75,n/a,2021
Kuwait,Percent of total labor force,,1.28,1.087,1.183,1.276,1.276,n/a,2020
Kyrgyz Republic,Percent of total labor force,,6.891,6.922,6.922,8.656,9.014,9.014,2021
Latvia,Percent of total labor force,,8.715,7.415,6.311,8.099,7.557,6.947,2022
Lithuania,Percent of total labor force,,7.073,6.146,6.254,8.488,7.113,5.925,2021
Luxembourg,Percent of total labor force,,5.844,5.104,5.404,6.365,5.732,4.797,2021
Macao SAR,Percent of total labor force,,1.975,1.8,1.725,2.55,2.95,3,2021
Malaysia,Percent of total labor force,,3.425,3.325,3.275,4.525,4.65,3.825,2021
Malta,Percent of total labor force,,4,3.658,3.633,4.358,3.408,2.925,2022
Mauritius,Percent of total labor force,,7.1,6.9,6.7,9.2,9.1,7.66,2021
Mexico,Percent of total labor force,,3.422,3.323,3.49,4.412,4.142,3.272,2021
Moldova,Percent of total labor force,,4.125,3.05,5.125,3.825,3.25,2.586,2021
Mongolia,Percent of total labor force,,8.8,7.8,10,7,8.1,7.29,2021
Morocco,Percent of total labor force,,10.6,9.4,10.2,12.2,11.9,12.9,2020
Netherlands,Percent of total labor force,,5.873,4.881,4.436,4.851,4.226,3.537,2022
